MCCMNC,Country,Operator,TADIG
65102,Lesotho,Econet,LSOET
65202,Botswana,Orange,BWAFT
65204,Botswana,BeMobile,BWABC
65310,Swaziland,Swazi MTN,?
65501,South Africa,Vodacom,ZAFVC
65507,South Africa,Cell-C,ZAFCC
65902,South Sudan,MTN,SSDMN
65904,South Sudan,Viva,SSDVC
70267,Belize,Digicell,BLZ67
70402,Guatemala,Tigo,GTMCM
70403,Guatemala,Movistar,GTMTG
70602,El Salvador,Digicel,SLVDC
70603,El Salvador,Tigo,SLVTM
70604,El Salvador,Movistar,SLVTS
70802,Honduras,Tigo,HND02
71203,Costa Rica,Claro,CRICL
71204,Costa Rica,Movistar,CRITC
71404,Panama,Digicel,PANDC
71606,Peru,Movistar,PERMO
71615,Peru,Bitel,PERVT
71617,Peru,Entel,PERN3
72207,Argentina,Movistar,ARGTM
72402,Brazil,TIM,BRAK1
72403,Brazil,TIM,BRAK2
72404,Brazil,TIM,BRAK3
72406,Brazil,VIVO,BRAV2
72410,Brazil,VIVO,BRAV1
72411,Brazil,VIVO,BRAV3
72423,Brazil,VIVO,BRATC
72439,Brazil,Nextel,BRAKA
73002,Chile,Movistar,CHLTM
73009,Chile,Nextel,CHLN3
73603,Bolivia,Tigo,BOLTE
73801,Guyana,Digicel,GUYUM
74002,Ecuador,Alegro,ECUAL
74404,Paraguay,Tigo,PRYTC
74405,Paraguay,Nucleo,PRYNP
74602,Suriname,Telesur,SURTG
74603,Suriname,Digicel,SURDC
74604,Suriname,Uniqa,SURK8
74801,Uruguay,Antel,URYK9
74807,Uruguay,Movistar,?
90113,International,Antarctica,(no info)
90114,International,AeroMobile,NORAM
90115,International,OnAir,CHEOA
90118,International,Maritime WMS,BMU01
90119,International,Vodafone,?
90128,International,Vodafone M2M,AAZVF
90154,Netherlands,Teleena,AAZTE
302220,Canada,Telus,CANTS
302370,Canada,Rogers,CANMC
302500,Canada,Videotron,CANVT
302610,Canada,Bell,CANBM
302720,Canada,Rogers,CANRW
302780,Canada,SaskTel,CANOR
310030,USA,AT&T,USACC
310080,USA,AT&T,USAJR
310150,USA,AT&T,USACG ??
310170,USA,AT&T,USAPB
310280,USA,AT&T,USACG ??
310300,USA,T-Mobile,USAMI
310320,USA,Cellular One,USAK5
310380,USA,AT&T,USACG
310410,USA,AT&T,USACG ??
310450,USA,Cellular One,USACI
310470,Guam,Docomo,GUMHT
310640,USA,AT&T,USAAE
310690,USA,Keystone,USACW
310840,USA,Telna Mobile,USATL
311270,USA,Verizon,USAVZ
311480,USA,Verizon,USAVZ
311890,USA,Verizon,USAVZ
330110,Puerto Rico,Claro,PRICL
334030,Mexico,Movistar,MEXMS
334050,Mexico,AT&T Mexico,MEXIU
334090,Mexico,Nextel,MEXN3
338050,Jamaica,Digicel,JAMDC
338180,Jamaica,Cable & Wireless,JAMCW
342600,Barbados,Cable & Wireless,BRBCW
344920,Antigua & Barbuda,Cable & Wireless,ATGCW
346140,Cayman Islands,Cable & Wireless,CYMCW
348170,BVI,Cable & Wireless,VGBCW
352110,Grenada,Cable & Wireless ,GRDCW
354860,Montserrat,Cable & Wireless,MSRCW
356110,St Kitts & Nevis,Cable & Wireless ,KNACW
358110,St Lucia,Cable & Wireless ,LCACW
360110,St Vincent & Grenadines,Cable & Wireless ,VCTCW
365840,Anguilla,Cable & Wireless,AIACW
366110,Dominica,Cable & Wireless,DMACW
374130,Trinidad & Tobago,Digicel,TTODL
376350,Turks & Caicos,Cable & Wireless,TCACW
405025,India,Tata,INDT0
405027,India,Tata,INDTB
405029,India,Tata,INDTD
405030,India,Tata,INDTG
405031,India,Tata,INDTH
405032,India,Tata,INDT4
405034,India,Tata,INDT1
405035,India,Tata,INDT3
405036,India,Tata,INDTK
405037,India,Tata,INDT6
405038,India,Tata,INDT5
405039,India,Tata,INDTM
405041,India,Tata,INDTO
405042,India,Tata,INDTP
405043,India,Tata,INDTR
405044,India,Tata,INDT2
405045,India,Tata,INDT7
405046,India,Tata,INDT8
405047,India,Tata,INDT9
405799,India,IDEA Cellular,INDIM
405800,India,Aircel,IND19
405801,India,Aircel,IND23
405802,India,Aircel,IND28
405803,India,Aircel,IND22
405804,India,Aircel,IND24
405805,India,Aircel,IND21
405806,India,Aircel,IND26
405807,India,Aircel,IND29
405808,India,Aircel,IND27
405809,India,Aircel,IND20
405810,India,Aircel,IND17
405811,India,Aircel,IND18
405812,India,Aircel,IND25
405840,India,Reliance Jio,INDJ1
405845,India,IDEA Cellular,INDAM
405846,India,IDEA Cellular,INDIJ
405848,India,IDEA Cellular,INDIK
405849,India,IDEA Cellular,INDIE
405850,India,IDEA Cellular,INDIO
405852,India,IDEA Cellular,INDIT
405853,India,IDEA Cellular,INDIW
405854,India,Reliance Jio,INDJ2
405855,India,Reliance Jio,INDJ3
405856,India,Reliance Jio,INDJ4
405857,India,Reliance Jio,INDJ5
405858,India,Reliance Jio,INDJ6
405859,India,Reliance Jio,INDJ7
405860,India,Reliance Jio,INDJ8
405861,India,Reliance Jio,INDJ9
405862,India,Reliance Jio,INDJL
405863,India,Reliance Jio,INDJM
405864,India,Reliance Jio,INDJN
405865,India,Reliance Jio,INDJO
405866,India,Reliance Jio,INDJP
405867,India,Reliance Jio,INDJQ
405868,India,Reliance Jio,INDJR
405869,India,Reliance Jio,INDJS
405870,India,Reliance Jio,INDJT
405871,India,Reliance Jio,INDJU
405872,India,Reliance Jio,INDJV
405873,India,Reliance Jio,INDJW
405874,India,Reliance Jio,INDJX
708040,Honduras,Digicel,HNDDC
714020,Panama,Movistar,PANMS
732111,Colombia,Tigo,COLCO
732123,Colombia,Movistar,COLTM
???,International,Vodafone Maritime,MLTMA
???,Spain,Vodafone,ESPON
